Child Behavior Checklist (CBCL) -- Age 6-18					
Question	Label	Variable	Variable Type	Values	Value Labels
1. Acts too young for his/her age	1	CBCL_01	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
2. Drinks alcohol without parents' approval	2	CBCL_02	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
3. Argues a lot	3	CBCL_03	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
4. Fails to finish things he/she starts	4	CBCL_04	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
5. There is very little he/she enjoys	5	CBCL_05	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
6. Bowel movements outside toilet	6	CBCL_06	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
"7. Bragging, boasting"	7	CBCL_07	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
"8. Can't concentrate, can't pay attention for long"	8	CBCL_08	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
9. Can't get his/her mind off certain thoughts; obsessions	9	CBCL_09	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
"10. Can't sit still, restless or hyperactive"	10	CBCL_10	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
11. Clings to adults or too dependent	11	CBCL_11	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
12. Complains of loneliness	12	CBCL_12	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
13. Confused or seems to be in a fog	13	CBCL_13	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
14. Cries a lot	14	CBCL_14	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
15. Cruel to animals	15	CBCL_15	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
"16. Cruelty, bullying, or meanness to others"	16	CBCL_16	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
17. Daydreams or gets lost in his/her thoughts	17	CBCL_17	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
18. Deliberately harms self or attempts suicide	18	CBCL_18	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
19. Demands a lot of attention	19	CBCL_19	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
20. Destroys his/her own things	20	CBCL_20	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
21. Destroys things belonging to his/her family or others	21	CBCL_21	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
22. Disobedient at home	22	CBCL_22	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
23. Disobedient at school	23	CBCL_23	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
24. Doesn't eat well	24	CBCL_24	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
25. Doesn't get along well with other kids	25	CBCL_25	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
26. Doesn't seem to feel guilty after misbehaving	26	CBCL_26	Numeric	0-2	"0=Not true, 1=Somewhat or sometimes true, 2=Very true or often true"
